timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:36:16.093, 0, NVIDIA GeForce RTX 4090, P0, 76.23 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 439 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:16.297, 0, NVIDIA GeForce RTX 4090, P0, 76.23 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 457 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:16.497, 0, NVIDIA GeForce RTX 4090, P0, 76.23 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 460 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:16.698, 0, NVIDIA GeForce RTX 4090, P0, 76.23 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 22536 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:16.898, 0, NVIDIA GeForce RTX 4090, P0, 76.23 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 22536 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:17.099, 0, NVIDIA GeForce RTX 4090, P2, 70.88 W, 41, 2730 MHz, 10251 MHz, 0 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:17.299, 0, NVIDIA GeForce RTX 4090, P2, 70.88 W, 41, 2730 MHz, 10251 MHz, 0 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:17.499, 0, NVIDIA GeForce RTX 4090, P2, 69.17 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:17.699, 0, NVIDIA GeForce RTX 4090, P2, 69.17 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:17.900, 0, NVIDIA GeForce RTX 4090, P2, 69.17 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:18.100, 0, NVIDIA GeForce RTX 4090, P2, 63.08 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:18.300, 0, NVIDIA GeForce RTX 4090, P2, 63.08 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22525 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:18.500, 0, NVIDIA GeForce RTX 4090, P2, 59.43 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22525 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:18.701, 0, NVIDIA GeForce RTX 4090, P2, 59.43 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22523 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:18.901, 0, NVIDIA GeForce RTX 4090, P2, 59.43 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22518 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:19.101, 0, NVIDIA GeForce RTX 4090, P2, 59.40 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22518 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:19.301, 0, NVIDIA GeForce RTX 4090, P2, 59.40 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22518 MiB, 24564 MiB, 4, 4, 16, 16
